param_0,param_1,param_2,param_3,param_4,param_5,TE0,TE1,TE2
1.0156e-06,1.544e-07,1.2543e-06,1.0142e-06,9.828e-07,7.937e-07,0.2711,0.2444,0.0689
5.298e-07,1.4005e-06,7.293e-07,6.603e-07,1.4044e-06,1.2112e-06,0.4457,0.0916,0.1155
3.826e-07,1.1785e-06,4.873e-07,1.7492e-06,1.8933e-06,1.1379e-06,0.1318,0.0757,0.0916
1.8778e-06,2.673e-07,1.161e-06,2.371e-07,9.991e-07,3.027e-07,0.0693,0.3152,0.0163
3.67e-07,1.3532e-06,5.746e-07,3.246e-07,5.626e-07,8.346e-07,0.6368,0.0261,0.0511
1.0824e-06,5.237e-07,1.4449e-06,1.1144e-06,1.161e-06,9.125e-07,0.3698,0.1659,0.1391
1.7666e-06,1.318e-06,4.408e-07,1.5716e-06,2.1256e-06,1.15e-06,0.184,0.0879,0.0895
1.968e-06,8.174e-07,1.291e-06,9.978e-07,1.0172e-06,1.7308e-06,0.474,0.0038,0.0845
1.2248e-06,2.1029e-06,1.2428e-06,2.724e-07,8.693e-07,1.8868e-06,0.0962,0.0097,0.0843
9.532e-07,1.571e-07,6.191e-07,2.41e-07,2.1871e-06,2.1382e-06,0.0287,0.0103,0.016
1.7805e-06,1.3638e-06,1.7064e-06,4.554e-07,7.153e-07,1.2005e-06,0.2175,0.0214,0.0075
8.489e-07,1.959e-07,2.1646e-06,1.0268e-06,1.1584e-06,7.794e-07,0.2588,0.2123,0.082
6.455e-07,9.125e-07,1.8472e-06,1.6472e-06,8.963e-07,1.273e-07,0.1485,0.0704,0.149
1.7746e-06,6.657e-07,1.3236e-06,1.537e-07,1.4906e-06,9.138e-07,0.1354,0.0154,0.2065
1.1439e-06,9.713e-07,8.368e-07,1.2571e-06,2.1431e-06,3.368e-07,0.353,0.1652,0.0381
7.578e-07,1.878e-07,1.6506e-06,1.4808e-06,5.507e-07,9.752e-07,0.3633,0.1642,0.0948
1.4521e-06,1.4891e-06,4.58e-07,1.9515e-06,1.7338e-06,3.813e-07,0.2759,0.0136,0.1018
1.9247e-06,1.6724e-06,1.777e-06,1.241e-06,5.638e-07,2.0288e-06,0.2417,0.0481,0.099
1.3434e-06,8.271e-07,6.539e-07,2.0192e-06,9.814e-07,1.2344e-06,0.3828,0.2504,0.0101
1.3777e-06,1.8351e-06,1.4095e-06,4.711e-07,1.3416e-06,1.1275e-06,0.194,0.0081,0.0628
1.2506e-06,1.569e-06,6.162e-07,4.919e-07,3.322e-07,6.755e-07,0.1989,0.0679,0.0585
1.215e-07,1.4217e-06,7.199e-07,4.933e-07,3.001e-07,6.959e-07,0.139,0.063,0.1125
5.513e-07,6.998e-07,1.09e-06,1.2539e-06,1.8747e-06,2.1759e-06,0.2581,0.0115,0.0666
2.026e-07,5.874e-07,1.451e-06,4.391e-07,1.9273e-06,5.565e-07,0.4372,0.0815,0.0145
1.6577e-06,1.4713e-06,1.7777e-06,1.656e-07,5.821e-07,1.5797e-06,0.1023,0.0868,0.0266
2.839e-07,1.642e-07,8.5e-07,1.3385e-06,2.097e-07,2.379e-07,0.2274,0.1715,0.1247
1.914e-07,9.298e-07,1.5037e-06,5.159e-07,1.9402e-06,1.008e-06,0.3024,0.0437,0.0912
1.4012e-06,7.099e-07,1.392e-06,2.1027e-06,1.0408e-06,5.348e-07,0.3923,0.0099,0.0178
9.933e-07,1.0336e-06,1.166e-06,1.204e-06,1.891e-07,4.453e-07,0.1513,0.1701,0.051
1.0455e-06,1.5867e-06,1.7329e-06,1.7319e-06,1.1558e-06,2.1092e-06,0.1619,0.0302,0.1329
7.969e-07,1.1111e-06,1.6716e-06,1.9015e-06,9.704e-07,1.8822e-06,0.3243,0.0471,0.1134
1.0336e-06,1.6031e-06,1.177e-07,1.529e-07,2.0749e-06,3.145e-07,0.0383,0.0723,0.1932
1.4901e-06,6.948e-07,5.218e-07,9.155e-07,2.0444e-06,1.2976e-06,0.3472,0.0831,0.0939
2.0251e-06,1.5748e-06,1.1526e-06,1.1628e-06,5.595e-07,1.098e-07,0.1535,0.0583,0.2243
9.775e-07,1.2831e-06,1.9408e-06,1.5229e-06,1.8689e-06,2.0449e-06,0.2433,0.0013,0.1181
2.0763e-06,1.8136e-06,3.759e-07,8.279e-07,5.379e-07,1.9215e-06,0.2868,0.0602,0.0192
1.7639e-06,8.329e-07,1.2952e-06,1.7908e-06,1.8496e-06,5.322e-07,0.2757,0.0267,0.13
1.6344e-06,1.7872e-06,1.906e-07,3.251e-07,1.0137e-06,5.639e-07,0.091,0.0172,0.2396
1.9493e-06,1.6113e-06,1.5973e-06,1.7167e-06,7.946e-07,5.801e-07,0.2977,0.0808,0.0563
1.4153e-06,9.704e-07,2.0672e-06,1.4492e-06,9.125e-07,1.8958e-06,0.3735,0.0072,0.022
8.997e-07,4.745e-07,1.7415e-06,1.0916e-06,6.449e-07,1.554e-06,0.5033,0.0242,0.1401
2.159e-06,6.171e-07,1.7595e-06,1.7009e-06,3.521e-07,1.8617e-06,0.2411,0.1591,0.1047
1.0697e-06,3.641e-07,1.2263e-06,7.227e-07,4.69e-07,2.664e-07,0.0965,0.0544,0.0892
5.177e-07,1.0021e-06,1.4478e-06,2.835e-07,1.603e-06,3.137e-07,0.3443,0.0862,0.1401
4.688e-07,1.598e-06,1.9591e-06,2.1646e-06,1.4711e-06,1.1032e-06,0.159,0.0377,0.1618
2.844e-07,1.2738e-06,4.804e-07,1.1802e-06,1.3788e-06,1.8497e-06,0.0913,0.0353,0.0008
7.799e-07,2.1766e-06,2.1894e-06,1.8349e-06,1.5577e-06,1.6407e-06,0.318,0.0135,0.0148
1.9381e-06,2.0982e-06,1.8898e-06,1.446e-06,2.543e-07,1.4091e-06,0.086,0.0279,0.0189
8.417e-07,4.46e-07,1.9756e-06,1.8323e-06,1.2059e-06,1.0732e-06,0.1914,0.1364,0.3039
1.1275e-06,6.475e-07,9.455e-07,1.017e-06,1.316e-07,1.9751e-06,0.1826,0.0911,0.1087
1.1275e-06,6.519e-07,9.455e-07,1.017e-06,1.316e-07,1.9751e-06,0.1844,0.0891,0.1074
2.159e-06,6.171e-07,1.692e-06,1.7009e-06,3.521e-07,1.1539e-06,0.2332,0.0964,0.031
1.9493e-06,1.6196e-06,1.5952e-06,1.3395e-06,7.946e-07,5.801e-07,0.3221,0.0931,0.0573
5.513e-07,9.39e-07,1.1305e-06,2.0016e-06,1.9758e-06,1.0959e-06,0.2558,0.0128,0.2049
1.3777e-06,1.8351e-06,1.4095e-06,4.767e-07,1.3416e-06,1.1275e-06,0.197,0.0077,0.0636
1.877e-07,9.247e-07,1.9372e-06,1.5229e-06,1.8689e-06,2.0506e-06,0.0311,0.0216,0.0905
8.997e-07,4.745e-07,1.7415e-06,1.0916e-06,5.619e-07,1.554e-06,0.5079,0.0104,0.1451
1.9247e-06,1.6041e-06,1.777e-06,1.241e-06,4.144e-07,2.0288e-06,0.1786,0.0524,0.0425
1.7343e-06,2.673e-07,1.1555e-06,2.371e-07,9.955e-07,3.06e-07,0.056,0.3372,0.0165
